orf1	gene1	type	orf2	gene2	descr	ref	evi
YBR077c	YBR077c	physical	YKR007w	YKR007w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR077c	YBR077c	physical	YKR007w	YKR007w	two hybrid IST hits: 12	11283351	902.01.01.02.01.07,902.01.09.02
YBR077c	YBR077c	physical	YMR004w	MVP1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR077c	YBR077c	physical	YOR045w	TOM6	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YBR079c	RPG1	physical	YMR309c	NIP1	gel retardation experiment	9660829	902.01.01.02.01.04
YBR079c	RPG1	physical	YMR309c	NIP1	Tif32p, Nip1p, Prt1p, Tif34p, Tif35p, and Tif5p copurify with His-tagged Prt1p; coimmunoprecipitation	9671501,10358023	902.01.01.02.01.01
YBR079c	RPG1	physical	YMR309c	NIP1	two hybrid; in vitro binding	9671501,9660829	902.01.01.02.01.07,902.01.09.01
YBR079c	RPG1	physical	YOR361c	PRT1	gel retardation experiment	9660829	902.01.01.02.01.04
YBR079c	RPG1	physical	YOR361c	PRT1	coimmunoprecipitation	9671501,9660829	902.01.01.02.01.01
YBR079c	RPG1	physical	YOR361c	PRT1	coimmunoprecipitation	9671501,9694884	902.01.01.02.01.01
YBR080c	SEC18	genetic	YKR068c	BET3	bet3-1 sec18-1 are synthetic lethal	8590804	902.01.01.02.02.02.01
YBR081c	SPT7	physical	YBR198c	TAF90	affinity chromatography; copurification	9885573	902.01.01.02.01.02
YBR081c	SPT7	physical	YDR145w	TAF61	affinity chromatography; copurification	9885573	902.01.01.02.01.02
YBR081c	SPT7	physical	YDR167w	TAF25	affinity chromatography; copurification	9885573	902.01.01.02.01.02
YBR081c	SPT7	physical	YDR176w	NGG1	cofractionation; coimmunoprecipitation; copurification	9224714,9756893,9885573	902.01.01.02.01.03.01,902.01.01.02.01.01
YBR081c	SPT7	physical	YDR176w	NGG1	coimmunoprecipitation	9224714,9885573,9756893	902.01.01.02.01.01
YBR081c	SPT7	physical	YDR392w	SPT3	cofractionation; coimmunoprecipitation; copurification	9224714,9756893,9885573	902.01.01.02.01.03.01,902.01.01.02.01.01
YBR081c	SPT7	physical	YDR392w	SPT3	affinity chromatography	9885573,9224714	902.01.01.02.01.02
YBR081c	SPT7	physical	YDR448w	ADA2	cofractionation; coimmunoprecipitation; copurification	9756893,9885573,9224714	902.01.01.02.01.03.01,902.01.01.02.01.01
YBR081c	SPT7	physical	YDR448w	ADA2	coimmunoprecipitation	9885573,9224714	902.01.01.02.01.01
YBR081c	SPT7	physical	YGL112c	TAF60	affinity chromatography; copurification	9885573	902.01.01.02.01.02
YBR081c	SPT7	physical	YGR252w	GCN5	coimmunoprecipitation; copurification	9885573,9224714	902.01.01.02.01.01
YBR081c	SPT7	physical	YHR099w	TRA1	coimmunoprecipitation	9756893	902.01.01.02.01.01
YBR081c	SPT7	physical	YHR099w	TRA1	cofractionation; coimmunoprecipitation; copurification	9756893,9885573	902.01.01.02.01.03.01,902.01.01.02.01.01
YBR081c	SPT7	physical	YHR099w	TRA1	affinity chromatography	9885573	902.01.01.02.01.02
YBR081c	SPT7	physical	YLR055c	SPT8	affinity chromatography; copurification	9885573,9224714	902.01.01.02.01.02
YBR081c	SPT7	physical	YMR236w	TAF17	affinity chromatography; copurification	9885573	902.01.01.02.01.02
YBR081c	SPT7	genetic	YNL236w	SIN4	spt7delta sin4delta mutants are synthetic lethal	9335585	902.01.01.02.02.02.01
YBR081c	SPT7	genetic	YOL051w	GAL11	spt7delta gal11delta mutants are synthetic lethal	9335585	902.01.01.02.02.02.01
YBR081c	SPT7	physical	YOL148c	SPT20	affinity chromatography; copurification; GST-binding	9885573,9224714,9335585	902.01.01.02.01.02
YBR081c	SPT7	genetic	YOR290c	SNF2	spt7delta snf2delta mutants are synthetic lethal	9335585	902.01.01.02.02.02.01
YBR081c	SPT7	physical	YPL254w	HFI1	coimmunoprecipitation; copurification	9885573	902.01.01.02.01.01
YBR082c	UBC4	genetic	YDR059c	UBC5	ubc4 ubc5 ubc7 triple mutants are inviable;synthetic lethal		902.01.01.02.02.02.01
YBR082c	UBC4	genetic	YDR177w	UBC1	ubc1 ubc4 ubc5 triple mutants are inviable;synthetic lethal		902.01.01.02.02.02.01
YBR082c	UBC4	genetic	YMR022w	QRI8	ubc4 ubc5 ubc7 triple mutants are inviable;synthetic lethal		902.01.01.02.02.02.01
YBR083w	TEC1	genetic	YKL043w	PHD1	mutations can be bypassed by overexpression of PHD1;overproduction bypasses tec1 mutations when cells are grown on low-ammonium medium;suppression overexpression		902.01.01.02.02.01.02.01
YBR085w	AAC3	genetic	YDL143w	CCT4	synthetic lethal	YRef Z10001	902.01.01.02.02.02.01
YBR085w	AAC3	genetic	YDR129c	SAC6	synthetic lethal	YRef Z10001	902.01.01.02.02.02.01
YBR087w	RFC5	genetic	YBR088c	POL30	overexpression of POL30 suppresses the replication defect of the rfc5-1 mutant, but not its checkpoint defect	8692942	902.01.01.02.02.01.02.01
YBR087w	RFC5	genetic	YDR328c	SKP1	rfc5-1 can be suppressed by overexpression of SPK1;suppression		902.01.01.02.02.01
YBR087w	RFC5	genetic	YER173w	RAD24	RAD24 is a dosage-dependent suppressor of rfc5-1;RAD24 overexpression suppresses the sensitivity of rfc5-1 cells to DNA-damaging agents and the defect in DNA damage-induced Rad53 phosphorylation;rad24 rfc5 mutants are more defective for checkpoint respond	9710632	902.01.01.02.02.01.02.03
YBR087w	RFC5	physical	YER173w	RAD24	affinity chromatography; coimmunoprecipitation	9710632	902.01.01.02.01.02,902.01.01.02.01.01
YBR087w	RFC5	genetic	YJR068w	RFC2	RFC5 overexpression suppresses ts phenotype of rfc2-1 mutant;suppression overexpression;rfc2-1 rfc5-1 double mutants are synthetic lethal; suppression	9671499	902.01.01.02.02.01.02.01,902.01.01.02.02.02.01
YBR087w	RFC5	physical	YJR068w	RFC2	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR087w	RFC5	physical	YJR068w	RFC2	coimmunoprecipitation	9710632	902.01.01.02.01.01
YBR087w	RFC5	physical	YLR390w	ECM19	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR088c	POL30	physical	YJR043c	POL32	two hybrid	9677405	902.01.01.02.01.07,902.01.09.01
YBR088c	POL30	genetic	YOR217w	RFC1	pol30 mutants can suppress cold sensitive cdc44 mutant	7516465	902.01.01.02.02.01.01
YBR090c	YBR090c	physical	YER158c	YER158c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR091c	MRS5	genetic	YDL217c	TIM22	overexpression of TIM22 suppresses the tim12-1 ts phenotype;suppression overexpression	9430585	902.01.01.02.02.01.02.01
YBR091c	MRS5	genetic	YEL020w-a	TIM9	ser-cys67 mutation of tim9 suppresses the tim12-1 ts growth defect;suppression mutation	9822593	902.01.01.02.02.01.01
YBR091c	MRS5	physical	YHR005c-a	TIM10	His-tagged Tim10p coprecipitate with Tim12p; epitope-tagged coimmunoprecipitation	9430585	902.01.01.02.01.01.02
YBR091c	MRS5	genetic	YOR334w	MRS2	TIM12 is a multicopy suppressor of respiratory-deficient mrs2-1 mutant;suppression overexpression		902.01.01.02.02.01.02.01
YBR091c	TIM12	genetic	YDL217c	TIM22	overexpression of TIM22 suppresses the tim12-1 ts phenotype;suppression	9430585	902.01.01.02.02.01
YBR091c	TIM12	genetic	YEL020w-a	TIM9	ser-cys67 mutation of tim9 suppresses the tim10-1 and tim12-1 ts growth defect;suppression		902.01.01.02.02.01
YBR091c	TIM12	physical	YHR005c-a	MRS11	His-tagged Tim10p coprecipitates with Tim12p	9430585	902.01.01.02.01.02.02
YBR091c	TIM12	physical	YOR297c	TIM18	coimmunoprecipitation	20115864	902.01.01.02.01.01
YBR091c	TIM12	genetic	YOR334w	MRS2	TIM12 is a multicopy suppressor of respiratory-deficient mrs2-1 mutant;suppression		902.01.01.02.02.01
YBR093c	PHO5	physical	YKR106w	YKR106w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR093c	PHO5	physical	YML077w	BET5	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR094w	YBR094w	physical	YOL149w	DCP1	two hybrid IST hits: 9	11283351	902.01.01.02.01.07,902.01.09.02
YBR097w	VPS15	genetic	YBR288c	APM3	apm3 null mutants combined with class D vps mutations reveal in nearly all cases (vpl3-1, pep12delta, vpl31-2, vpl9-10, pep7delta, vpt21, vps45delta, mts1-1) synthetic growth defects	9412470	902.01.01.02.02
YBR097w	VPS15	physical	YLR240w	VPS34	chemical cross linking; chemical crosslinking; coimmunoprecipitation	8387919,11157979	902.01.01.02.01.05.01,902.01.01.02.01.01
YBR101c	YBR101c	physical	YBR014c	YBR014c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YHL021c	YHL021c	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YJL117w	PHO86	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YKL171w	YKL171w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YLL062c	MHT1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YLR074c	BUD20	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YLR194c	YLR194c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YMR092c	AIP1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YMR173w	DDR48	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YOL011w	PLB3	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR101c	YBR101c	physical	YPL136w	YPL136w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR102c	EXO84	physical	YDR166c	SEC5	coimmunoprecipitation; two hybrid; coimmunoprecipitation	99367490	902.01.01.02.01.01,902.01.01.02.01.07
YBR102c	EXO84	physical	YLR166c	SEC10	coimmunoprecipitation; two hybrid		902.01.01.02.01.01,902.01.01.02.01.07
YBR102c	EXO84	physical	YLR166c	SEC10	two hybrid; coimmunoprecipitation	99367490	902.01.01.02.01.07,902.01.01.02.01.01
YBR103w	SIF2	physical	YCR077c	PAT1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YBR103w	SIF2	physical	YDR227w	SIR4	coimmunoprecipitation; interacts in two hybrid screen with N-terminus (9-271) of Sir4p; two hybrid; coimmunoprecipitation	9651685	902.01.01.02.01.01,902.01.01.02.01.07
YBR103w	SIF2	genetic	YGL023c	PIB2	deletion of SIF2 in a ygl023delta background results in improved telomere-proximal repression;the effects of deletion of both SIF2 and UTH4 in a ygl023delta background are cumulative in respect to improved telomere-proximal repression;synthetic phenotype	9651685	902.01.01.02.02.02
YBR103w	SIF2	genetic	YGL178w	MPT5	synthetic growth defecthe effects of deletion of both SIF2 and UTH4 in a ygl023delta background are cumulative in respect to improved telomere-proximal repression;synthetic phenotype	9651685	902.01.01.02.02.02
YBR103w	SIF2	genetic	YGL236c	MTO1	deletion of SIF2 in a ygl023delta background results in improved telomere-proximal repression;synthetic growth defecthe effects of deletion of both SIF2 and UTH4 in a ygl023delta background are cumulative in respect to improved telomere-proximal repressio	9651685	902.01.01.02.02
YBR103w	SIF2	physical	YIL112w	YIL112w	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR103w	SIF2	physical	YIL112w	YIL112w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR103w	SIF2	physical	YJR141w	YJR141w	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YBR103w	SIF2	physical	YMR061w	RNA14	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YBR103w	SIF2	physical	YOR319w	HSH49	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR108w	YBR108w	physical	YCR009c	RVS161	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR108w	YBR108w	physical	YDR388w	RVS167	two hybrid IST hits: 8	11283351	902.01.01.02.01.07,902.01.09.02
YBR108w	YBR108w	physical	YGR136w	LSB1	two hybrid IST hits: 7	11283351	902.01.01.02.01.07,902.01.09.02
YBR109c	CMD1	genetic	YCR065w	HCM1	HCM1 does not repress cmd1 null mutants;HCM1 is a dosage-dependent suppressor of calmodulin mutation cmd1-1	8441413	902.01.01.02.02
YBR109c	CMD1	genetic	YDR356w	NUF1	deletion of the calmodulin-binding site suppresses cmd1-1 mutation;overexpression of Cmd1p suppresses th ets phenotype of spc110-220 mutants		902.01.01.02.02
YBR109c	CMD1	genetic	YDR356w	NUF1	cmd1-1 mutants are suppressed by spc110 mutation	8247006	902.01.01.02.02.01
YBR109c	CMD1	genetic	YDR356w	NUF1	suppression	8247006,8799819	902.01.01.02.02.01
YBR109c	CMD1	genetic	YDR356w	NUF1	CMD1 overexpression suppresses the temperature-sensitivity of spc110-220 mutants	8799819	902.01.01.02.02.01.02.01
YBR109c	CMD1	genetic	YDR356w	NUF1	deletion of Spc110p calmodulin-binding site suppresses cmd1-1 mutation		902.01.01.02.02.01
YBR109c	CMD1	physical	YDR356w	NUF1	coimmunoprecipitation	7925277	902.01.01.02.01.01
YBR109c	CMD1	physical	YDR356w	NUF1	ProtA-CaM screening; two hybrid system; overlay assay; copurification	7925277,8247006,9384578	902.01.01.02.01.07,902.01.09.01
YBR109c	CMD1	physical	YDR356w	NUF1	two hybrid	8247006	902.01.01.02.01.07,902.01.09.01
YBR109c	CMD1	physical	YDR356w	NUF1	Spc110p-dependent localization of calmodulin defines the orientation of Spc110p with the C-terminus towards the central and the N-terminus towards the inner plaque of the SPB; a fraction of Cmd1p is localized to the central plaque of the SPB, dependent on	8886974	902.01.01.02.01
YBR109c	CMD1	physical	YDR356w	NUF1	affinity chromatography	9384578	902.01.01.02.01.02
YBR109c	CMD1	physical	YFR014c	CMK1	ProtA-CaM screening; coimmunoprecipitation	7925277	902.01.01.02.01.01
YBR109c	CMD1	physical	YGL043w	DST1	ProtA-CaM screening; coimmunoprecipitation	7925277	902.01.01.02.01.01
YBR109c	CMD1	genetic	YHR030c	SLT2	cmd1 slt2/mpk1 mutants are synthetic lethal	YRef Z10001	902.01.01.02.02.02.01
YBR109c	CMD1	physical	YLR433c	CNA1	ProtA-CaM screening; coimmunoprecipitation	7925277	902.01.01.02.01.01
YBR109c	CMD1	physical	YML057w	CMP2	ProtA-CaM screening; coimmunoprecipitation	7925277	902.01.01.02.01.01
YBR109c	CMD1	physical	YMR109w	MYO5	Cmd1p interacts with Myo5p; coimmunoprecipitation; two hybrid; overlay assays;two hybrid	9450989	902.01.01.02.01.01,902.01.01.02.01.07
YBR109c	CMD1	physical	YOL016c	CMK2	ProtA-CaM screening; coimmunoprecipitation	7925277	902.01.01.02.01.01
YBR109c	CMD1	genetic	YOR326w	MYO2	cmd1 mutants show allele-specific synthetic lethality with myo2-66 conditional mutation	8294515	902.01.01.02.02.02.01
YBR109c	CMD1	genetic	YOR326w	MYO2	synthetic lethal	8294515,9472039	902.01.01.02.02.02.01
YBR109c	CMD1	genetic	YOR326w	MYO2	myo2-66 cmd1-1 are synthetic lethal, but not myo2-66 cmd1-3;synthetic lethal	9472039	902.01.01.02.02.02.01
YBR109c	CMD1	physical	YOR326w	MYO2	interaction with IQ sites on Myo2p may be regulated by phosphorylation		902.01.01.02.01
YBR109c	CMD1	physical	YOR326w	MYO2	Myo2p coimmunoprecipitates with calmodulin in the presence of Ca2+ or EGTA; calmodulin and Myo2p fusion proteins directly interact in gel overlay assay; calmodulin binds specifically in presence of Ca2+ or EGTA to the region of Myo2p containing six tandem	8294515	902.01.01.02.01.01
YBR110w	ALG1	genetic	YDL055c	PSA1	PSA1 is a multicopy suppressor of nes17/alg1 that is involved in GDP-mannose synthesisuppression overexpression	9413430	902.01.01.02.02.01.02.01
YBR112c	CYC8	physical	YCR084c	TUP1	epitope-tagged chelate affinity chromatography (HIS-tag)	9111019	902.01.01.02.01.02
YBR112c	CYC8	genetic	YDL194w	SNF3	ssn6 mutation completely suppresses the invertase derepression defects of snf3 mutants	6392017	902.01.01.02.02.01
YBR112c	CYC8	genetic	YDL194w	SNF3	suppression mutation	6392017,8948096	902.01.01.02.02.01.01
YBR112c	CYC8	genetic	YDL194w	SNF3	ssn6 suppresses snf3 associated growth defects in a strain lacking sks1	8948096	902.01.01.02.02.01
YBR112c	CYC8	physical	YDR043c	NRG1	affinity chromatography; two hybrid; GST pull-down experiments	10022891	902.01.01.02.01.02,902.01.01.02.01.07
YBR112c	CYC8	genetic	YDR477w	SNF1	snf1 mutants can be suppressed by CYC8;suppressor of snf1 mutationsuppression		902.01.01.02.02.01
YBR112c	CYC8	physical	YIL061c	SNP1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR112c	CYC8	physical	YMR240c	CUS1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR113w	YBR113w	physical	YDL043c	PRP11	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR114w	RAD16	physical	YIR009w	MSL1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR114w	RAD16	physical	YJR052w	RAD7	two hybrid		902.01.01.02.01.07,902.01.09.01
YBR114w	RAD16	physical	YJR052w	RAD7	coimmunoprecipitation; two hybrid	9268290	902.01.01.02.01.01,902.01.01.02.01.07
YBR114w	RAD16	physical	YLR147c	SMD3	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR117c	TKL2	physical	YIL061c	SNP1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR118w	TEF2	physical	YLR249w	YEF3	coimmunoprecipitation	9705146,9990316	902.01.01.02.01.01
YBR118w	TEF2	physical	YLR249w	YEF3	coimmunoprecipitation; cosedimentation	9990316,9705146	902.01.01.02.01.03.02,902.01.01.02.01.01
YBR119w	MUD1	physical	YDR110w	FOB1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR119w	MUD1	physical	YLR223c	IFH1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR119w	MUD1	physical	YLR449w	FPR4	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR119w	MUD1	physical	YML016c	PPZ1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR119w	MUD1	physical	YNL227c	YNL227c	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR123c	TFC1	genetic	YGR047c	TFC4	suppression	 7797524	902.01.01.02.02.01
YBR123c	TFC1	genetic	YGR047c	TFC4	overexpression of TFC1 suppresses ts mutants of tfc4;suppression overexpression	7797524	902.01.01.02.02.01.02.01
YBR123c	TFC1	physical	YOR110w	TFC7	C-terminal part of Tfc7p is essential for interaction with Tfc1p; coimmunoprecipitation; two hybrid; far-Western	9584160	902.01.01.02.01.01,902.01.01.02.01.07
YBR125c	PTC4	physical	YDR071c	YDR071c	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR126c	TPS1	physical	YBR126c	TPS1	two hybrid	9194697	902.01.01.02.01.07,902.01.09.01
YBR126c	TPS1	genetic	YDL022w	GPD1	GPD1 overexpression suppresses tps1 growth defect on glucose, probably by recovery of phosphate;suppression overexpression		902.01.01.02.02.01.02.01
YBR126c	TPS1	physical	YDR074w	TPS2	two hybrid	9194697	902.01.01.02.01.07,902.01.09.01
YBR126c	TPS1	genetic	YGL035c	MIG1	the entire MIG1 gene and the truncated form suppresses even on a single-copy vector the growth initiation defect but not the regulatory abnormalities of the byp1-3 mutant;suppression	1597433	902.01.01.02.02.01
YBR126c	TPS1	genetic	YGL253w	HXK2	hxk2 null mutant suppresses growth on glucose defect of tps1;hxk2 suppresses other regulatory defects of tps1 null mutant including glucose induction of PDC1, inactivation of Fbp1p, glucose-induced activation of potassium transport, and glucose-induced cA	8467527	902.01.01.02.02.01
YBR126c	TPS1	physical	YML100w	TSL1	two hybrid	9194697	902.01.01.02.01.07,902.01.09.01
YBR126c	TPS1	physical	YMR261c	TPS3	two hybrid	9194697	902.01.01.02.01.07,902.01.09.01
YBR127c	VMA2	physical	YGR117c	YGR117c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR127c	VMA2	genetic	YOL018c	TLG2	synthetic lethal	9763449	902.01.01.02.02.02.01
YBR128c	APG14	genetic	YPL120w	VPS30	APG14 overproduction suppresses the agp6-1 mutant phenotype (35% of activity);suppression overexpression	9712845	902.01.01.02.02.01.02.01
YBR128c	APG14	physical	YPL120w	VPS30	Two distinct Vps34 PtdIns 3-kinase complexes exist: one, containing Vps15p,Vps30p, and Apg14p, functions in autophagy and the other containing Vps15p, Vps30p, and Vps38p functions in CPY sorting. 	9712845,11157979	902.01.01.02.01.01
YBR130c	SHE3	physical	YBR130c	SHE3	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YBR130c	SHE3	physical	YBR130c	SHE3	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR131w	CCZ1	physical	YDL043c	PRP11	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR133c	HSL7	physical	YDL154w	MSH5	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR133c	HSL7	physical	YER087w	YER087w	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR133c	HSL7	physical	YJL187c	SWE1	two hybrid; coimmunoprecipitation	10490648	902.01.01.02.01.07,902.01.01.02.01.01
YBR133c	HSL7	physical	YJL187c	SWE1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR133c	HSL7	physical	YKL101w	HSL1	coimmunoprecipitation; two hybrid; coimmunoprecipitation	10490648	902.01.01.02.01.01,902.01.01.02.01.07
YBR133c	HSL7	physical	YPL016w	SWI1	two hybrid	10490648	902.01.01.02.01.07,902.01.09.01
YBR134w	YBR134w	physical	YOR128c	ADE2	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	genetic	YBR160w	CDC28	CKS1 is a  high copy suppressors of cdc28 mutants;high copy suppressor of a cdc28 ts mutant;suppression overexpression	2699737	902.01.01.02.02.01.02.01
YBR135w	CKS1	physical	YBR160w	CDC28	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	physical	YBR160w	CDC28	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	genetic	YBR160w	CDC28	CLN1 is a  high copy suppressors of cdc28 mutants	2699737	902.01.01.02.02.01
YBR135w	CKS1	physical	YBR160w	CDC28	coimmunoprecipitation	89313749	902.01.01.02.01.01
YBR135w	CKS1	physical	YBR252w	DUT1	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	physical	YDL155w	CLB3	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	physical	YDR078c	YDR078c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	physical	YGR108w	CLB1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	physical	YGR108w	CLB1	two hybrid IST hits: 3	11283351	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	physical	YLR210w	CLB4	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
YBR135w	CKS1	physical	YPL256c	CLN2	coimmunoprecipitation; immunoaffinity column chromatography	8756727	902.01.01.02.01.01
YBR135w	CKS1	physical	YPR119w	CLB2	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR136w	ESR1	genetic	YGR180c	RNR4	synthetic lethal	9315670	902.01.01.02.02.02.01
YBR136w	ESR1	physical	YIR009w	MSL1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR136w	MEC1	physical	YDR499w	DDC2	coimmunoprecipitation	10950868	902.01.01.02.01.01
YBR136w	MEC1	physical	YDR499w	LCD1	coimmunoprecipitation	10950868	902.01.01.02.01.01
YBR136w	MEC1	genetic	YGR180c	RNR4	synthetic lethal	9315670	902.01.01.02.02.02.01
YBR136w	MEC1	physical	YIR009w	MSL1	two hybrid	9207794	902.01.01.02.01.07,902.01.09.01
YBR137w	YBR137w	physical	YBR137w	YBR137w	two hybrid	10655498	902.01.01.02.01.07,902.01.09.02
YBR137w	YBR137w	physical	YBR137w	YBR137w	two hybrid IST hits: 6	11283351	902.01.01.02.01.07,902.01.09.02
YBR138c	HDR1	physical	YIL046w	MET30	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR139w	YBR139w	physical	YOR381w	FRE3	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR140c	IRA1	genetic	YBR195c	MSI1	MSI1 is a multicopy suppressor of ira1;suppression overexpression		902.01.01.02.02.01.02.01
YBR141c	YBR141c	physical	YDR372c	YDR372c	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR141c	YBR141c	physical	YGL091c	NBP35	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR143c	SUP45	physical	YDR172w	SUP35		 9482897	902.01.01.02.01
YBR143c	SUP45	physical	YDR172w	SUP35	see,	9482897	902.01.01.02.01
YBR143c	SUP45	physical	YMR080c	NAM7	affinity chromatography; copurification	9620853	902.01.01.02.01.02
YBR146w	MRPS9	physical	YIL070c	MAM33	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR149w	ARA1	physical	YDL211c	YDL211c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR149w	ARA1	physical	YNL128w	TEP1	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR152w	SPP381	physical	YGR075c	PRP38	coimmunoprezipitation; two hybrid	99077995	902.01.01.02.01.07,902.01.09.01
YBR154c	RPB5	physical	YFL023w	FYV11	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR155w	CNS1	physical	YDR463w	STP1	two hybrid	10688190	902.01.01.02.01.07,902.01.09.02
YBR155w	CNS1	genetic	YJR032w	CPR7	CNS1 is a multicopy suppressor of cpr7 mutants;CNS1 is a multicopy suppressor of cpr7 mutation;suppression overexpression	9819421,9819422	902.01.01.02.02.01.02.01
YBR155w	CNS1	physical	YJR032w	CPR7	coimmunoprecipitation	9819421	902.01.01.02.01.01
YBR155w	CNS1	physical	YJR032w	CPR7	coimmunoprecipitation	9819421,9819422	902.01.01.02.01.01
YBR155w	CNS1	physical	YMR186w	HSC82	coimmunoprecipitation	9819421	902.01.01.02.01.01
YBR155w	CNS1	physical	YPL240c	HSP82	two hybrid; coimmunoprecipitation;Cns1p interacts with the C-terminus of Hsp82p, two hybrid and coprecipitation; coimmunoprecipitation; interaction with the C-terminus of Hsp90, two hybrid and coimmunoprecipitation	9819422	902.01.01.02.01.07,902.01.01.02.01.01
YBR156c	SLI15	physical	YPL209c	IPL1	coimmunoprezipitation	99315908	902.01.01.02.01.01
YBR158w	CST13	physical	YDR111c	YDR111c	two hybrid IST hits: 1	11283351	902.01.01.02.01.07,902.01.09.02
YBR160w	CDC28	physical	YBR135w	CKS1	two hybrid IST hits: 2	11283351	902.01.01.02.01.07,902.01.09.02
